secid,date,symbol,expiration,cp_flag,strike,best_bid,best_offer,implied_volatility,expiryindicator,amsettlement
108105.0,2020-06-15,SPX 200619C1970000,2020-06-19,C,1970000.0,1080.1,1101.5,,,1.0
108105.0,2020-06-15,SPX 200619C1975000,2020-06-19,C,1975000.0,1075.1,1096.5,,,1.0
108105.0,2020-06-15,SPX 200619C1980000,2020-06-19,C,1980000.0,1070.1,1091.5,,,1.0
108105.0,2020-06-15,SPX 200619C1990000,2020-06-19,C,1990000.0,1060.1,1081.5,,,1.0
108105.0,2020-06-15,SPX 200619C200000,2020-06-19,C,200000.0,2849.4,2871.3,,,1.0
108105.0,2020-06-15,SPX 200619C2000000,2020-06-19,C,2000000.0,1050.1,1071.5,,,1.0
108105.0,2020-06-15,SPX 200619C2010000,2020-06-19,C,2010000.0,1040.1,1061.5,,,1.0
108105.0,2020-06-15,SPX 200619C2020000,2020-06-19,C,2020000.0,1030.1,1051.5,,,1.0
108105.0,2020-06-15,SPX 200619C2025000,2020-06-19,C,2025000.0,1025.1,1046.5,,,1.0
108105.0,2020-06-15,SPX 200619C2030000,2020-06-19,C,2030000.0,1020.1,1041.5,,,1.0
108105.0,2020-06-15,SPX 200619C2040000,2020-06-19,C,2040000.0,1010.1,1031.5,,,1.0
108105.0,2020-06-15,SPX 200619C2050000,2020-06-19,C,2050000.0,1000.1,1021.5,,,1.0
108105.0,2020-06-15,SPX 200619C2060000,2020-06-19,C,2060000.0,989.6,1011.5,,,1.0
108105.0,2020-06-15,SPX 200619C2070000,2020-06-19,C,2070000.0,985.9,995.9,,,1.0
108105.0,2020-06-15,SPX 200619C2075000,2020-06-19,C,2075000.0,980.2,990.9,,,1.0
108105.0,2020-06-15,SPX 200619C2080000,2020-06-19,C,2080000.0,969.6,991.5,,,1.0
108105.0,2020-06-15,SPX 200619C2090000,2020-06-19,C,2090000.0,959.6,975.9,,,1.0
108105.0,2020-06-15,SPX 200619C2100000,2020-06-19,C,2100000.0,955.2,965.9,,,1.0
108105.0,2020-06-15,SPX 200619C2110000,2020-06-19,C,2110000.0,939.6,961.5,,,1.0
108105.0,2020-06-15,SPX 200619C2120000,2020-06-19,C,2120000.0,929.6,951.0,,,1.0
108105.0,2020-06-15,SPX 200619C2125000,2020-06-19,C,2125000.0,930.2,940.9,,,1.0
108105.0,2020-06-15,SPX 200619C2130000,2020-06-19,C,2130000.0,925.2,935.9,,,1.0
108105.0,2020-06-15,SPX 200619C2140000,2020-06-19,C,2140000.0,915.2,925.9,,,1.0
108105.0,2020-06-15,SPX 200619C2150000,2020-06-19,C,2150000.0,905.2,915.8,,,1.0
108105.0,2020-06-15,SPX 200619C2160000,2020-06-19,C,2160000.0,890.8,911.5,,,1.0
108105.0,2020-06-15,SPX 200619C2170000,2020-06-19,C,2170000.0,880.1,901.5,,,1.0
108105.0,2020-06-15,SPX 200619C2175000,2020-06-19,C,2175000.0,875.1,896.5,,,1.0
108105.0,2020-06-15,SPX 200619C2180000,2020-06-19,C,2180000.0,875.2,885.9,,,1.0
108105.0,2020-06-15,SPX 200619C2185000,2020-06-19,C,2185000.0,870.7,880.9,,,1.0
108105.0,2020-06-15,SPX 200619C2190000,2020-06-19,C,2190000.0,859.7,881.6,,,1.0
