expiry,T,r,strike,side,type,dK,weight,mid,cp_flag
2020-07-13,0.07671232876712329,0.0,2865.0,P,OTM,5.0,1.5881282842166588e-05,44.650000000000006,P
2020-07-13,0.07671232876712329,0.0,2870.0,P,OTM,5.0,1.5825995563518176e-05,45.6,P
2020-07-13,0.07671232876712329,0.0,2875.0,P,OTM,5.0,1.5770996489332974e-05,46.55,P
2020-07-13,0.07671232876712329,0.0,2880.0,P,OTM,5.0,1.5716283619929452e-05,47.5,P
2020-07-13,0.07671232876712329,0.0,2885.0,P,OTM,5.0,1.5661854972939317e-05,48.45,P
2020-07-13,0.07671232876712329,0.0,2890.0,P,OTM,5.0,1.5607708583127935e-05,49.5,P
2020-07-13,0.07671232876712329,0.0,2895.0,P,OTM,5.0,1.5553842502216956e-05,50.5,P
2020-07-13,0.07671232876712329,0.0,2900.0,P,OTM,5.0,1.550025479870902e-05,51.55,P
2020-07-13,0.07671232876712329,0.0,2905.0,P,OTM,5.0,1.5446943557714645e-05,52.6,P
2020-07-13,0.07671232876712329,0.0,2910.0,P,OTM,5.0,1.539390688078115e-05,53.7,P
2020-07-13,0.07671232876712329,0.0,2915.0,P,OTM,5.0,1.5341142885723616e-05,54.8,P
2020-07-13,0.07671232876712329,0.0,2920.0,P,OTM,5.0,1.5288649706457925e-05,55.95,P
2020-07-13,0.07671232876712329,0.0,2925.0,P,OTM,5.0,1.5236425492835748e-05,57.1,P
2020-07-13,0.07671232876712329,0.0,2930.0,P,OTM,5.0,1.5184468410481525e-05,58.3,P
2020-07-13,0.07671232876712329,0.0,2935.0,P,OTM,5.0,1.513277664063138e-05,59.45,P
2020-07-13,0.07671232876712329,0.0,2940.0,P,OTM,5.0,1.5081348379973951e-05,60.7,P
2020-07-13,0.07671232876712329,0.0,2945.0,P,OTM,5.0,1.503018184049312e-05,61.9,P
2020-07-13,0.07671232876712329,0.0,2950.0,P,OTM,5.0,1.4979275249312595e-05,63.2,P
2020-07-13,0.07671232876712329,0.0,2955.0,P,OTM,5.0,1.492862684854233e-05,64.5,P
2020-07-13,0.07671232876712329,0.0,2960.0,P,OTM,5.0,1.4878234895126786e-05,65.8,P
2020-07-13,0.07671232876712329,0.0,2965.0,P,OTM,5.0,1.4828097660694938e-05,67.1,P
2020-07-13,0.07671232876712329,0.0,2970.0,P,OTM,5.0,1.4778213431412082e-05,68.5,P
2020-07-13,0.07671232876712329,0.0,2975.0,P,OTM,5.0,1.4728580507833386e-05,69.9,P
2020-07-13,0.07671232876712329,0.0,2980.0,P,OTM,5.0,1.4679197204759114e-05,71.3,P
2020-07-13,0.07671232876712329,0.0,2985.0,P,OTM,5.0,1.4630061851091623e-05,72.75,P
2020-07-13,0.07671232876712329,0.0,2990.0,P,OTM,5.0,1.4581172789693947e-05,74.25,P
2020-07-13,0.07671232876712329,0.0,2995.0,P,OTM,5.0,1.4532528377250103e-05,75.75,P
2020-07-13,0.07671232876712329,0.0,3000.0,P,OTM,5.0,1.4484126984126982e-05,77.3,P
