date,S,V,dS,dV,delta_hedge,hedge_pnl,dV_hedged,V_unhedged_cum,V_hedged_cum
2020-06-15,3066.59,0.1258184279494346,,,0.0,,,0.0,0.0
2020-06-16,3124.74,0.1192113521190615,58.149999999999636,-0.006607075830373094,0.0,-0.0,-0.006607075830373094,-0.006607075830373094,-0.006607075830373094
2020-06-17,3113.49,0.11123267844375746,-11.25,-0.00797867367530404,0.0,0.0,-0.00797867367530404,-0.014585749505677134,-0.014585749505677134
2020-06-18,3115.34,0.09814957494227092,1.8500000000003638,-0.013083103501486545,-0.00017144051610271715,0.0003171649547900891,-0.012765938546696456,-0.02766885300716368,-0.02735168805237359
2020-06-19,3097.74,0.0941758802898054,-17.600000000000364,-0.003973694652465512,-0.000263406122430015,-0.00463594775476836,-0.008609642407233872,-0.03164254765962919,-0.03596133045960746
2020-06-22,3117.86,0.08101749653089123,20.120000000000346,-0.013158383758914177,-0.00020365200475409116,0.004097478335652384,-0.009060905423261793,-0.04480093141854337,-0.04502223588286926
2020-06-23,3131.29,0.07664206416912725,13.429999999999836,-0.004375432361763978,0.0005552302058049738,-0.007456741663960708,-0.011832174025724687,-0.04917636378030735,-0.056854409908593945
2020-06-24,3050.33,0.08115611654246452,-80.96000000000004,0.004514052373337268,-0.0006035316722614458,-0.04886192418628667,-0.0443478718129494,-0.04466231140697008,-0.10120228172154334
2020-06-25,3083.76,0.06680198367167631,33.43000000000029,-0.014354132870788211,5.996145503157975e-06,-0.00020045114417057284,-0.014554584014958783,-0.05901644427775829,-0.11575686573650212
2020-06-26,3009.05,0.07947843933733159,-74.71000000000004,0.012676455665655284,9.387839376608572e-06,0.0007013654798264268,0.013377821145481712,-0.046339988612103006,-0.10237904459102042
2020-06-29,3053.24,0.05448354816591745,44.1899999999996,-0.024994891171414138,-2.0400744908203976e-05,0.0009015089174935256,-0.024093382253920614,-0.07133487978351714,-0.12647242684494103
2020-06-30,3100.29,0.04639863798701534,47.05000000000018,-0.008084910178902116,-1.649939571979364e-05,0.0007762965686162937,-0.007308613610285822,-0.07941978996241926,-0.13378104045522685
2020-07-01,3115.86,0.038765701147146545,15.570000000000164,-0.0076329368398687925,-0.0003103693334235936,0.004832450521405403,-0.00280048631846339,-0.08705272680228805,-0.13658152677369023
2020-07-02,3130.01,0.035267369181553425,14.150000000000091,-0.0034983319655931197,-0.0003278452189585632,0.004639009848263699,0.0011406778826705795,-0.09055105876788117,-0.13544084889101965
2020-07-06,3179.72,0.03923136403712138,49.70999999999958,0.003963994855567955,-0.00034542925355036236,0.017171288193988367,0.021135283049556322,-0.08658706391231322,-0.11430556584146333
2020-07-07,3145.32,0.030716609781224268,-34.399999999999636,-0.008514754255897112,-0.00013292211158049823,-0.004572520638369091,-0.013087274894266202,-0.09510181816821033,-0.12739284073572954
2020-07-08,3169.94,0.03142411391765226,24.61999999999989,0.0007075041364279951,-8.442882661952475e-05,0.0020786377113726903,0.0027861418478006853,-0.09439431403178233,-0.12460669888792886
2020-07-09,3152.05,0.026055870581583176,-17.889999999999873,-0.0053682433360690875,-2.057571922839821e-05,-0.0003680996169960414,-0.005736342953065129,-0.09976255736785142,-0.130343041840994
2020-07-10,3185.04,0.031487791300923995,32.98999999999978,0.005431920719340819,7.521541869107385e-05,-0.00248135666261851,0.0029505640567223093,-0.0943306366485106,-0.12739247778427168
2020-07-13,3155.22,0.02253859614345692,-29.820000000000164,-0.008949195157467074,0.00016595459447549493,0.004948766007259286,-0.004000429150207788,-0.10327983180597768,-0.13139290693447947
